view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed
"[{""page_index"":0,""viewing_time"":3320.724999997765},{""page_index"":1,""viewing_time"":1369.1249999974389},{""page_index"":2,""viewing_time"":1234.729999996489}]",5926.519999993616,instructions,0,5953,0.0-0.0-0.0,NA,NA
NA,1929.919999995036,html-button-response,1,8888,0.0-0.0-1.0,13 + 14 = 26,1
